duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0.122751938,0.740434333,0.817876297,0.454545455,0.841136381,1,0.092991453,0.044418442,0.001479167,0.024603259,0.851020408,0.615889559,0.8,blues
0.070851049,0.521199586,0.909441253,0,0.858683448,0,0.112820513,0.000167016,0.000167708,0.176696134,0.426530612,0.588367658,0.8,blues
0.085154057,0.442605998,0.564311804,0,0.840718594,1,0.064957265,0.153765595,0,0.034188945,0.46122449,0.991700289,0.6,blues
0.120218802,0.776628749,0.640783635,1,0.805206674,0,0.062222222,0.283414334,8.22E-05,0.051230163,0.808163265,0.580666036,0.8,blues
0.095506907,1,0.666945051,0.636363636,0.89591874,1,0.275213675,0.177886291,0.000779167,0.032058792,0.915306122,0.568738571,0.8,blues
0.131301656,0.463288521,0.420424016,0.363636364,0.820351464,1,0.07042735,0.509545856,2.37E-05,0.052827777,0.374489796,0.717839232,0.6,blues
0.076636962,0.912099276,0.550224888,0.818181818,0.845288143,1,0.101538462,0.014066567,0.004520833,0.064969645,0.855102041,0.691694896,0.8,blues
0.062922717,0.511892451,0.529094513,0.181818182,0.844348121,0,0.050598291,0.31758532,0.000152083,0.213973799,0.46122449,0.401803091,0.8,blues
0.064525885,0.597724922,0.838000463,0.181818182,0.829542784,1,0.087521368,0.163815885,1.42E-06,0.039620833,0.951020408,0.818823137,0.8,blues
0.104554425,0.856256463,0.486833764,0.909090909,0.79457921,1,0.154017094,0.441203885,0,0.332197252,0.696938776,0.568552281,0.8,blues
0.061936329,0.570837642,0.311753519,0.454545455,0.678016555,1,0.050598291,0.92060271,0.001770833,0.105336032,0.309183673,0.434124412,0.6,blues
0.078383291,0.632885212,0.886298462,0.454545455,0.887171319,1,0.078461538,0.00518211,0,0.083714986,0.63877551,0.588240196,0.8,blues
0.09618241,0.647362978,0.475765473,0.818181818,0.77789383,1,0.081538462,0.708541595,0.000138542,0.677281926,0.666326531,0.386120412,0.6,blues
0.062407262,0.335056877,0.889317086,0.545454545,0.916755882,0,1,0.073061768,0,0.185216743,0.437755102,0.780962139,0.8,blues
0.036272206,0.455015512,0.407343308,0.636363636,0.746847012,1,0.046324786,0.73266229,2.58E-06,0.071360102,0.48877551,0.500507395,0.6,blues
0.068614597,0.538779731,0.483815139,0.363636364,0.842206961,0,0.127692308,0.027332949,0.000198958,0.073809777,0.773469388,0.390351157,0.8,blues
0.059474965,0.558428128,0.553243512,0.090909091,0.827506071,1,0.052478632,0.541706783,0,0.221429332,0.701020408,0.62354706,0.8,blues
